alert_id,alert_timestamp,transaction_id,customer_id,alert_type,severity,alert_source,resolved,resolution_time_hours,analyst_action
ALT-000001,2024-02-18 06:31:57,TXN-002637,CUST-00409,velocity_check,high,ml_model,1,3.6,investigating
ALT-000002,2024-01-24 20:36:35,TXN-003752,CUST-00109,high_value,medium,rules_engine,1,0.5,dismissed
ALT-000003,2024-01-31 04:51:54,TXN-000501,CUST-00409,velocity_check,high,ml_model,1,5.9,escalated
ALT-000004,2024-01-02 23:53:42,TXN-001942,CUST-00647,velocity_check,low,ml_model,1,3.3,escalated
ALT-000005,2024-02-14 04:57:33,TXN-003901,CUST-00348,velocity_check,low,rules_engine,1,13.0,blocked
ALT-000006,2024-02-13 02:49:58,TXN-000902,CUST-00254,velocity_check,low,rules_engine,0,,
ALT-000007,2024-02-29 20:03:47,TXN-001913,CUST-00497,pattern_match,critical,rules_engine,1,0.8,dismissed
ALT-000008,2024-02-24 03:40:00,TXN-000640,CUST-00705,high_value,high,ml_model,1,2.1,investigating
ALT-000009,2024-01-17 17:06:37,TXN-002641,CUST-00261,pattern_match,high,ml_model,1,1.8,blocked
ALT-000010,2024-01-15 01:24:50,TXN-001612,CUST-00258,device_change,low,rules_engine,1,1.4,investigating
ALT-000011,2024-01-03 03:04:02,TXN-001309,CUST-00172,high_value,high,ml_model,0,,
ALT-000012,2024-01-09 19:14:52,TXN-003185,CUST-00600,pattern_match,high,rules_engine,1,21.4,escalated
ALT-000013,2024-01-19 05:27:25,TXN-004631,CUST-00577,velocity_check,medium,rules_engine,1,3.8,investigating
ALT-000014,2024-02-14 16:35:04,TXN-000908,CUST-00103,pattern_match,low,rules_engine,0,,
ALT-000015,2024-01-13 13:50:08,TXN-004668,CUST-00202,high_value,medium,rules_engine,1,19.9,dismissed
ALT-000016,2024-02-15 02:17:03,TXN-004895,CUST-00506,velocity_check,critical,rules_engine,1,35.5,dismissed
ALT-000017,2024-01-28 15:56:39,TXN-000136,CUST-00186,high_value,low,ml_model,1,1.5,dismissed
ALT-000018,2024-02-04 05:55:49,TXN-001069,CUST-00334,pattern_match,medium,rules_engine,1,0.7,escalated
ALT-000019,2024-02-03 10:27:37,TXN-003337,CUST-00565,pattern_match,medium,rules_engine,1,25.1,blocked
ALT-000020,2024-02-27 08:23:44,TXN-002387,CUST-00046,high_value,high,rules_engine,1,0.8,blocked
ALT-000021,2024-02-12 02:24:12,TXN-004315,CUST-00676,high_value,high,manual_review,1,1.6,escalated
ALT-000022,2024-02-24 18:34:02,TXN-003183,CUST-00334,velocity_check,medium,rules_engine,1,0.6,escalated
ALT-000023,2024-01-13 20:40:42,TXN-003379,CUST-00462,geo_anomaly,high,rules_engine,1,3.0,escalated
ALT-000024,2024-01-12 23:52:02,TXN-000164,CUST-00451,velocity_check,critical,rules_engine,1,0.9,escalated
ALT-000025,2024-01-17 20:42:23,TXN-000904,CUST-00419,pattern_match,medium,rules_engine,1,5.3,blocked
ALT-000026,2024-02-08 09:24:12,TXN-002922,CUST-00174,device_change,medium,ml_model,1,580.8,blocked
ALT-000027,2024-01-05 04:40:00,TXN-003262,CUST-00175,device_change,low,rules_engine,1,0.7,dismissed
ALT-000028,2024-02-18 05:55:59,TXN-001110,CUST-00591,high_value,medium,rules_engine,0,,
ALT-000029,2024-01-09 03:06:42,TXN-004799,CUST-00698,device_change,low,ml_model,0,,
ALT-000030,2024-02-07 05:05:08,TXN-002376,CUST-00412,geo_anomaly,critical,rules_engine,1,2.8,blocked
ALT-000031,2024-01-08 04:32:59,TXN-003736,CUST-00703,high_value,critical,rules_engine,0,,
ALT-000032,2024-01-20 05:26:40,TXN-004477,CUST-00265,high_value,low,rules_engine,0,,
ALT-000033,2024-01-25 14:47:48,TXN-001370,CUST-00495,geo_anomaly,high,rules_engine,0,,
ALT-000034,2024-02-17 06:43:25,TXN-003476,CUST-00115,high_value,high,rules_engine,0,,
ALT-000035,2024-02-12 02:20:14,TXN-000269,CUST-00670,velocity_check,low,ml_model,1,7.1,investigating
ALT-000036,2024-01-09 23:36:01,TXN-001543,CUST-00705,velocity_check,medium,rules_engine,1,0.8,escalated
ALT-000037,2024-02-29 13:54:25,TXN-004696,CUST-00373,geo_anomaly,high,rules_engine,0,,
ALT-000038,2024-01-22 18:32:42,TXN-001795,CUST-00445,geo_anomaly,high,rules_engine,1,1.8,escalated
ALT-000039,2024-02-19 02:46:12,TXN-003291,CUST-00174,high_value,critical,ml_model,1,0.4,dismissed
ALT-000040,2024-01-25 20:44:05,TXN-002669,CUST-00151,device_change,medium,ml_model,1,0.6,blocked
ALT-000041,2024-01-25 21:00:30,TXN-000156,CUST-00734,device_change,low,rules_engine,0,,
ALT-000042,2024-02-08 16:30:50,TXN-004361,CUST-00185,high_value,high,rules_engine,1,13.8,escalated
ALT-000043,2024-01-20 14:33:19,TXN-004679,CUST-00673,high_value,medium,rules_engine,1,2.2,blocked
ALT-000044,2024-02-16 01:36:06,TXN-000496,CUST-00510,high_value,low,rules_engine,0,,
ALT-000045,2024-01-17 04:21:39,TXN-003480,CUST-00025,velocity_check,high,ml_model,0,,
ALT-000046,2024-01-19 11:45:20,TXN-001794,CUST-00329,high_value,low,ml_model,0,,
ALT-000047,2024-01-24 18:24:27,TXN-000150,CUST-00254,pattern_match,high,ml_model,1,2.2,dismissed
ALT-000048,2024-02-25 11:16:44,TXN-004226,CUST-00303,high_value,low,rules_engine,1,1.3,dismissed
ALT-000049,2024-01-26 14:45:14,TXN-001853,CUST-00376,device_change,low,rules_engine,1,8.6,dismissed
ALT-000050,2024-01-24 08:59:15,TXN-001529,CUST-00604,pattern_match,high,rules_engine,1,15.2,investigating
