customer_id,age,customer_since,credit_limit,avg_monthly_spend,risk_score,region,account_tier,is_active
CUST-00001,58,2022-09-02,1825.09,386.2,68.5,Nordeste,Standard,1
CUST-00002,19,2017-08-17,2949.65,1098.66,17.5,Centro-Oeste,Standard,1
CUST-00003,66,2020-02-23,2139.78,598.05,80.4,Nordeste,Standard,1
CUST-00004,23,2017-09-23,2885.92,1566.26,76.3,Sudeste,Standard,1
CUST-00005,72,2021-04-23,8561.51,2797.09,69.8,Sudeste,Premium,1
CUST-00006,61,2016-08-26,2904.93,1066.31,48.1,Sudeste,Standard,1
CUST-00007,38,2023-04-17,1096.3,282.55,46.7,Sudeste,Standard,1
CUST-00008,47,2022-04-26,1739.88,662.34,53.4,Sudeste,Standard,1
CUST-00009,21,2022-09-09,1479.95,651.53,50.0,Nordeste,Standard,1
CUST-00010,18,2016-04-16,12180.52,4488.34,10.0,Sudeste,Premium,1
CUST-00011,64,2020-12-19,41073.58,14533.51,2.3,Sudeste,Business,1
CUST-00012,41,2022-02-09,3335.88,1218.19,3.2,Centro-Oeste,Standard,1
CUST-00013,54,2023-01-14,2457.97,330.86,85.5,Sudeste,Standard,1
CUST-00014,56,2019-03-05,47334.26,22608.39,17.2,Sudeste,Business,1
CUST-00015,51,2018-11-09,1674.09,450.4,71.8,Sudeste,Standard,1
CUST-00016,20,2020-03-19,1714.01,744.72,33.5,Sudeste,Standard,1
CUST-00017,24,2016-07-12,2270.74,757.32,69.0,Sul,Standard,1
CUST-00018,30,2017-11-27,2265.64,542.11,37.7,Sudeste,Standard,1
CUST-00019,52,2023-10-03,47238.76,24769.54,4.4,Sudeste,Business,1
CUST-00020,42,2023-11-24,22445.11,11043.79,14.6,Sul,Business,1
CUST-00021,63,2018-06-18,1890.12,1104.5,49.7,Sul,Standard,1
CUST-00022,50,2023-01-08,4822.26,646.09,55.3,Sudeste,Premium,1
CUST-00023,20,2016-12-22,2972.12,1137.17,29.9,Nordeste,Standard,1
CUST-00024,59,2020-07-22,3787.05,2150.54,5.5,Sudeste,Standard,1
CUST-00025,26,2020-01-03,14551.24,4143.66,3.3,Sudeste,Premium,1
CUST-00026,59,2017-12-27,3451.31,861.76,81.3,Nordeste,Standard,1
CUST-00027,35,2020-10-04,12611.35,2544.95,47.6,Sul,Premium,1
CUST-00028,23,2016-10-21,1830.04,186.25,78.6,Sudeste,Standard,1
CUST-00029,18,2022-08-31,3649.32,2014.29,47.8,Nordeste,Standard,1
CUST-00030,68,2023-06-22,6520.92,1465.67,2.5,Sudeste,Premium,1
CUST-00031,27,2021-04-07,15714.47,7941.87,89.9,Centro-Oeste,Premium,1
CUST-00032,69,2016-05-29,13728.99,3204.39,72.4,Sul,Premium,1
CUST-00033,70,2018-10-04,3461.61,1854.25,38.2,Norte,Standard,1
CUST-00034,40,2016-09-22,3038.55,1585.61,35.6,Norte,Standard,1
CUST-00035,40,2020-05-27,3952.71,623.83,14.0,Sudeste,Standard,1
CUST-00036,65,2016-05-26,2293.89,1317.7,49.8,Sudeste,Standard,1
CUST-00037,30,2019-03-16,8549.74,4053.15,7.5,Sul,Premium,1
CUST-00038,31,2019-02-06,11279.94,2945.47,16.0,Sudeste,Premium,1
CUST-00039,65,2022-01-06,7405.44,3198.61,64.2,Nordeste,Premium,1
CUST-00040,69,2021-09-08,1138.64,674.04,59.0,Sudeste,Standard,1
CUST-00041,42,2018-05-18,1442.71,640.29,51.1,Nordeste,Standard,1
CUST-00042,62,2018-02-10,2672.22,1493.06,25.7,Sudeste,Standard,1
CUST-00043,66,2018-12-16,12631.29,4451.13,44.3,Sudeste,Premium,1
CUST-00044,34,2021-02-23,7327.74,3582.07,39.3,Sudeste,Premium,1
CUST-00045,39,2020-05-02,4966.93,871.28,39.4,Sudeste,Premium,1
CUST-00046,47,2019-04-04,3498.67,1031.19,95.1,Sudeste,Standard,1
CUST-00047,40,2020-07-27,14241.38,8213.22,12.7,Sudeste,Premium,1
CUST-00048,32,2020-11-10,1087.07,291.41,79.7,Nordeste,Standard,1
CUST-00049,19,2019-07-03,2989.0,424.36,66.9,Centro-Oeste,Standard,1
CUST-00050,39,2019-09-02,3853.61,1197.63,92.0,Norte,Standard,0
CUST-00051,33,2021-09-07,11456.03,2511.99,51.1,Sudeste,Premium,1
CUST-00052,41,2022-01-14,15564.82,7147.03,65.8,Sudeste,Premium,1
CUST-00053,54,2016-04-28,26574.01,15166.73,4.6,Nordeste,Business,1
