transaction_id,timestamp,customer_id,merchant_id,merchant_category,amount,transaction_type,channel,device_fingerprint,ip_address,status,is_flagged,fraud_confirmed,response_time_ms,state
TXN-000001,2024-01-09 05:28:02,CUST-00203,MERCH-0096,supermercados,512.72,cartao_credito,app_mobile,FP-291031,138.137.xxx.xxx,aprovada,0,,204,RS
TXN-000002,2024-01-04 21:48:14,CUST-00292,MERCH-0033,e-commerce,234.01,TED,app_mobile,FP-519300,129.199.xxx.xxx,aprovada,0,,57,RJ
TXN-000003,2024-01-23 23:05:47,CUST-00786,MERCH-0073,e-commerce,299.31,cartao_credito,app_mobile,FP-359781,159.78.xxx.xxx,aprovada,0,,21,SP
TXN-000004,2024-02-16 00:15:01,CUST-00204,MERCH-0152,viagens,246.13,cartao_credito,internet_banking,FP-226312,34.205.xxx.xxx,aprovada,0,,332,RR
TXN-000005,2024-01-30 18:04:14,CUST-00538,MERCH-0014,viagens,208.07,boleto,app_mobile,FP-394184,242.179.xxx.xxx,aprovada,0,,227,MA
TXN-000006,2024-01-28 04:49:06,CUST-00484,MERCH-0004,utilidades,1820.6,PIX,app_mobile,FP-236637,85.184.xxx.xxx,aprovada,0,,90,MG
TXN-000007,2024-02-07 06:53:59,CUST-00599,MERCH-0168,e-commerce,304.48,PIX,internet_banking,FP-567423,237.50.xxx.xxx,recusada,0,,156,RJ
TXN-000008,2024-01-19 14:42:32,CUST-00131,MERCH-0162,farmacias,296.0,cartao_credito,API,FP-539357,135.11.xxx.xxx,aprovada,0,,35,SC
TXN-000009,2024-01-19 11:10:37,CUST-00711,MERCH-0200,viagens,15.45,TED,internet_banking,FP-316976,48.1.xxx.xxx,aprovada,0,,153,TO
TXN-000010,2024-02-20 23:30:33,CUST-00738,MERCH-0137,marketplace,142.45,cartao_credito,app_mobile,,38.142.xxx.xxx,aprovada,0,,33,RJ
TXN-000011,2024-02-28 18:07:26,CUST-00648,MERCH-0157,outros,716.29,TED,API,FP-110913,211.182.xxx.xxx,aprovada,0,,395,SP
TXN-000012,2024-01-25 23:39:27,CUST-00670,MERCH-0149,utilidades,565.06,cartao_debito,internet_banking,FP-514673,40.228.xxx.xxx,aprovada,0,,75,RR
TXN-000013,2024-01-18 02:22:02,CUST-00190,MERCH-0101,marketplace,582.14,cartao_debito,internet_banking,FP-250494,19.218.xxx.xxx,aprovada,0,,750,RJ
TXN-000014,2024-01-10 16:23:15,CUST-00618,MERCH-0064,postos,1124.94,PIX,caixa_eletronico,FP-757860,154.6.xxx.xxx,aprovada,0,1,204,SP
TXN-000015,2024-01-20 15:26:36,CUST-00088,MERCH-0063,e-commerce,624.93,cartao_credito,API,,161.63.xxx.xxx,aprovada,1,1,772,AM
TXN-000016,2024-01-23 00:11:28,CUST-00025,MERCH-0029,farmacias,31.52,PIX,internet_banking,FP-335428,27.144.xxx.xxx,aprovada,0,,585,SP
TXN-000017,2024-02-11 14:46:35,CUST-00183,MERCH-0074,supermercados,28.1,cartao_debito,internet_banking,FP-623502,170.188.xxx.xxx,aprovada,0,,84,CE
TXN-000018,2024-02-16 10:49:38,CUST-00458,MERCH-0033,servicos_digitais,422.27,PIX,app_mobile,FP-434826,127.217.xxx.xxx,aprovada,0,,46,PR
TXN-000019,2024-01-24 21:00:26,CUST-00670,MERCH-0022,postos,236.79,cartao_debito,internet_banking,FP-705947,199.112.xxx.xxx,aprovada,0,0,58,TO
TXN-000020,2024-01-14 12:42:26,CUST-00798,MERCH-0036,marketplace,11.26,PIX,API,,37.193.xxx.xxx,aprovada,0,,336,DF
TXN-000021,2023-12-30 03:55:16,CUST-00076,MERCH-0107,restaurantes,139.73,PIX,app_mobile,FP-879677,36.153.xxx.xxx,aprovada,0,,104,SP
TXN-000022,2023-12-27 07:58:41,CUST-00658,MERCH-0142,servicos_digitais,2078.83,cartao_debito,app_mobile,FP-699853,129.156.xxx.xxx,aprovada,0,,564,SP
TXN-000023,2023-12-24 20:37:32,CUST-00129,MERCH-0178,restaurantes,772.09,PIX,app_mobile,FP-773071,104.194.xxx.xxx,aprovada,0,,104,RS
TXN-000024,2023-12-29 10:50:28,CUST-00372,MERCH-0194,servicos_digitais,268.15,PIX,app_mobile,FP-311524,164.16.xxx.xxx,pendente,0,,225,AM
TXN-000025,2023-12-23 19:37:41,CUST-00047,MERCH-0092,e-commerce,244.85,TED,API,,25.169.xxx.xxx,estornada,0,,116,RJ
TXN-000026,2023-12-21 22:57:34,CUST-00039,MERCH-0129,e-commerce,966.18,cartao_debito,API,FP-905973,88.229.xxx.xxx,aprovada,0,,206,RN
TXN-000027,2023-12-20 21:50:41,CUST-00626,MERCH-0023,outros,541.33,cartao_debito,API,,44.151.xxx.xxx,aprovada,0,,51,CE
TXN-000028,2023-12-25 22:12:56,CUST-00127,MERCH-0081,e-commerce,73.25,cartao_credito,app_mobile,FP-630519,116.134.xxx.xxx,aprovada,0,0,229,SP
TXN-000029,2023-12-21 21:01:10,CUST-00575,MERCH-0119,utilidades,195.65,PIX,app_mobile,FP-591246,165.238.xxx.xxx,aprovada,0,,235,ES
TXN-000030,2023-12-23 20:24:57,CUST-00337,MERCH-0140,postos,428.73,cartao_debito,app_mobile,FP-771315,55.163.xxx.xxx,aprovada,0,,379,RS
TXN-000031,2023-12-22 14:09:47,CUST-00441,MERCH-0022,e-commerce,410.7,cartao_credito,API,,21.152.xxx.xxx,aprovada,0,,203,RJ
TXN-000032,2023-12-30 20:40:29,CUST-00056,MERCH-0122,utilidades,84.67,TED,caixa_eletronico,FP-830532,112.181.xxx.xxx,aprovada,0,,188,RJ
TXN-000033,2023-12-20 04:07:55,CUST-00752,MERCH-0116,e-commerce,0.0,cartao_debito,app_mobile,FP-765104,116.49.xxx.xxx,pendente,0,,177,RJ
TXN-000034,2023-12-28 05:57:21,CUST-00215,MERCH-0167,supermercados,252.77,PIX,caixa_eletronico,FP-468814,91.218.xxx.xxx,estornada,0,,135,RJ
TXN-000035,2023-12-21 23:22:38,CUST-00567,MERCH-0159,supermercados,487.87,TED,caixa_eletronico,FP-204045,23.53.xxx.xxx,pendente,0,,145,SP
TXN-000036,2024-01-10 16:19:21,CUST-00558,MERCH-0199,restaurantes,2510.3,cartao_debito,caixa_eletronico,FP-305059,220.240.xxx.xxx,aprovada,0,,76,ES
TXN-000037,2024-02-08 10:18:02,CUST-00721,MERCH-0107,e-commerce,12.16,TED,app_mobile,,233.212.xxx.xxx,aprovada,1,0,471,MT
TXN-000038,2024-02-11 15:52:52,CUST-00592,MERCH-0033,e-commerce,260.66,cartao_debito,API,,201.200.xxx.xxx,aprovada,0,,55,GO
TXN-000039,2024-02-27 14:27:42,CUST-00644,MERCH-0057,e-commerce,493.99,cartao_debito,internet_banking,FP-357167,186.193.xxx.xxx,aprovada,0,,240,RJ
TXN-000040,2024-01-11 00:59:03,CUST-00594,MERCH-0020,e-commerce,90.1,boleto,app_mobile,FP-979037,54.200.xxx.xxx,aprovada,0,,74,SP
TXN-000041,2024-02-13 18:37:23,CUST-00322,MERCH-0009,servicos_digitais,53.05,PIX,app_mobile,FP-463629,124.2.xxx.xxx,aprovada,0,,203,GO
TXN-000042,2024-02-19 16:27:05,CUST-00531,MERCH-0052,servicos_digitais,384.37,PIX,app_mobile,FP-678286,167.150.xxx.xxx,pendente,0,,321,SC
TXN-000043,2024-01-28 06:58:13,CUST-00203,MERCH-0185,outros,303.71,PIX,caixa_eletronico,FP-544320,153.139.xxx.xxx,aprovada,0,,78,SC
TXN-000044,2024-01-07 05:45:04,CUST-00648,MERCH-0166,farmacias,103.41,cartao_credito,API,,102.15.xxx.xxx,pendente,0,,66,RJ
TXN-000045,2024-01-01 22:26:47,CUST-00126,MERCH-0144,marketplace,172.76,PIX,app_mobile,FP-322481,135.111.xxx.xxx,aprovada,1,1,197,SP
TXN-000046,2024-01-31 20:29:19,CUST-00446,MERCH-0031,servicos_digitais,241.51,PIX,app_mobile,FP-442753,152.196.xxx.xxx,aprovada,0,0,22,PR
TXN-000047,2024-01-04 14:14:07,CUST-00413,MERCH-0107,utilidades,337.07,boleto,app_mobile,FP-890303,89.204.xxx.xxx,aprovada,0,,91,BA
TXN-000048,2024-02-17 21:33:27,CUST-00466,MERCH-0013,servicos_digitais,124.03,boleto,app_mobile,FP-438542,221.223.xxx.xxx,recusada,0,,23,TO
